method	panels	mean_panel_pooled_F1	mean_panel_official_L1_pp	mean_panel_Pearson_union	total_TP	total_FP	total_FN	total_rescued_TP	total_rescued_FP	mean_delta_F1	min_delta_F1	mean_delta_L1_pp	total_TP_delta	total_FP_delta	total_FN_delta	improved_samples_F1	worsened_samples_F1	unchanged_samples_F1	worsened_panels_F1
cross_rescue_ani0.92_xny25_br0.01_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.7734333354813626	37.0063459363136	0.9201606465907756	1792	822	147	65	434	-0.0857248528863126	-0.46848635235732017	0.0	65.0	434.0	-65.0	1.0	31.0	0.0	4.0
cross_rescue_ani0.92_xny25_br0.01_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8249218270323014	37.0063459363136	0.9193922716727216	1775	617	164	48	229	-0.053064058233854836	-0.22638888888888886	0.0	48.0	229.0	-48.0	2.0	30.0	0.0	4.0
cross_rescue_ani0.92_xny25_br0.01_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8643763150130068	37.0063459363136	0.9188065039860205	1767	431	172	40	43	-0.000124150614414259	-0.04127906976744178	0.0	40.0	43.0	-40.0	14.0	10.0	8.0	2.0
cross_rescue_ani0.92_xny25_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny25_br0.01_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny25_br0.05_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.7975103254270263	37.0063459363136	0.9198408510093575	1791	721	148	64	333	-0.0707896311408957	-0.34490740740740744	0.0	64.0	333.0	-64.0	2.0	30.0	0.0	4.0
cross_rescue_ani0.92_xny25_br0.05_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8256006714434423	37.0063459363136	0.9193822480440795	1775	614	164	48	226	-0.05252420446329681	-0.22638888888888886	0.0	48.0	226.0	-48.0	2.0	30.0	0.0	4.0
cross_rescue_ani0.92_xny25_br0.05_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8643763150130068	37.0063459363136	0.9188065039860205	1767	431	172	40	43	-0.000124150614414259	-0.04127906976744178	0.0	40.0	43.0	-40.0	14.0	10.0	8.0	2.0
cross_rescue_ani0.92_xny25_br0.05_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny25_br0.05_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny25_br0.15_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8352121954219467	37.0063459363136	0.9192006503035424	1778	590	161	51	202	-0.045788939319530465	-0.19999999999999996	0.0	51.0	202.0	-51.0	1.0	31.0	0.0	4.0
cross_rescue_ani0.92_xny25_br0.15_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8368088250727865	37.0063459363136	0.9191742173501007	1773	579	166	46	191	-0.043340529615236205	-0.19999999999999996	0.0	46.0	191.0	-46.0	1.0	31.0	0.0	4.0
cross_rescue_ani0.92_xny25_br0.15_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8643763150130068	37.0063459363136	0.9188065039860205	1767	431	172	40	43	-0.000124150614414259	-0.04127906976744178	0.0	40.0	43.0	-40.0	14.0	10.0	8.0	2.0
cross_rescue_ani0.92_xny25_br0.15_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny25_br0.15_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny25_br0.1_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.824743083698702	37.0063459363136	0.9194766220678119	1781	638	158	54	250	-0.0572290245620314	-0.284438775510204	0.0	54.0	250.0	-54.0	2.0	30.0	0.0	4.0
cross_rescue_ani0.92_xny25_br0.1_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8324779805423934	37.0063459363136	0.9193198999652902	1774	598	165	47	210	-0.048352921716725755	-0.22638888888888886	0.0	47.0	210.0	-47.0	1.0	31.0	0.0	4.0
cross_rescue_ani0.92_xny25_br0.1_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8643763150130068	37.0063459363136	0.9188065039860205	1767	431	172	40	43	-0.000124150614414259	-0.04127906976744178	0.0	40.0	43.0	-40.0	14.0	10.0	8.0	2.0
cross_rescue_ani0.92_xny25_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny25_br0.1_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny25_br0.2_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8566249956851907	37.0063459363136	0.9189794941748288	1769	505	170	42	117	-0.027396055370631375	-0.19999999999999996	0.0	42.0	117.0	-42.0	6.0	26.0	0.0	3.0
cross_rescue_ani0.92_xny25_br0.2_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.856463514949201	37.0063459363136	0.918962859768616	1768	503	171	41	115	-0.025881016176857577	-0.19999999999999996	0.0	41.0	115.0	-41.0	6.0	26.0	0.0	3.0
cross_rescue_ani0.92_xny25_br0.2_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.869213720582869	37.0063459363136	0.9187688816055068	1762	415	177	35	27	0.0029049589301407552	-0.035612535612535634	0.0	35.0	27.0	-35.0	17.0	5.0	10.0	0.0
cross_rescue_ani0.92_xny25_br0.2_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8709304115138432	37.0063459363136	0.9186781153898296	1744	389	195	17	1	0.006043630773723847	0.0	0.0	17.0	1.0	-17.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny25_br0.2_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny25_br0.3_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8690600767553797	37.0063459363136	0.9187716824801517	1744	399	195	17	11	0.001960108438383217	-0.0045033112582780754	0.0	17.0	11.0	-17.0	9.0	4.0	19.0	1.0
cross_rescue_ani0.92_xny25_br0.3_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8690600767553797	37.0063459363136	0.9187716824801517	1744	399	195	17	11	0.001960108438383217	-0.0045033112582780754	0.0	17.0	11.0	-17.0	9.0	4.0	19.0	1.0
cross_rescue_ani0.92_xny25_br0.3_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8692912440402372	37.0063459363136	0.9187357265398607	1742	395	197	15	7	0.0019925576915890107	-0.0045033112582780754	0.0	15.0	7.0	-15.0	10.0	2.0	20.0	0.0
cross_rescue_ani0.92_xny25_br0.3_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8699456800966343	37.0063459363136	0.9186780411220128	1738	388	201	11	0	0.003565933001477322	0.0	0.0	11.0	0.0	-11.0	8.0	0.0	24.0	0.0
cross_rescue_ani0.92_xny25_br0.3_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny25_br0.5_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8671937191839519	37.0063459363136	0.9186780411220128	1729	388	210	2	0	0.0008274060612387252	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	30.0	0.0
cross_rescue_ani0.92_xny25_br0.5_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8671937191839519	37.0063459363136	0.9186780411220128	1729	388	210	2	0	0.0008274060612387252	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	30.0	0.0
cross_rescue_ani0.92_xny25_br0.5_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8671937191839519	37.0063459363136	0.9186780411220128	1729	388	210	2	0	0.0008274060612387252	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	30.0	0.0
cross_rescue_ani0.92_xny25_br0.5_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8671937191839519	37.0063459363136	0.9186780411220128	1729	388	210	2	0	0.0008274060612387252	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	30.0	0.0
cross_rescue_ani0.92_xny25_br0.5_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny300_br0.01_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8249218270323014	37.0063459363136	0.9193922716727216	1775	617	164	48	229	-0.053064058233854836	-0.22638888888888886	0.0	48.0	229.0	-48.0	2.0	30.0	0.0	4.0
cross_rescue_ani0.92_xny300_br0.01_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8249218270323014	37.0063459363136	0.9193922716727216	1775	617	164	48	229	-0.053064058233854836	-0.22638888888888886	0.0	48.0	229.0	-48.0	2.0	30.0	0.0	4.0
cross_rescue_ani0.92_xny300_br0.01_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8643763150130068	37.0063459363136	0.9188065039860205	1767	431	172	40	43	-0.000124150614414259	-0.04127906976744178	0.0	40.0	43.0	-40.0	14.0	10.0	8.0	2.0
cross_rescue_ani0.92_xny300_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny300_br0.01_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny300_br0.05_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8256006714434423	37.0063459363136	0.9193822480440795	1775	614	164	48	226	-0.05252420446329681	-0.22638888888888886	0.0	48.0	226.0	-48.0	2.0	30.0	0.0	4.0
cross_rescue_ani0.92_xny300_br0.05_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8256006714434423	37.0063459363136	0.9193822480440795	1775	614	164	48	226	-0.05252420446329681	-0.22638888888888886	0.0	48.0	226.0	-48.0	2.0	30.0	0.0	4.0
cross_rescue_ani0.92_xny300_br0.05_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8643763150130068	37.0063459363136	0.9188065039860205	1767	431	172	40	43	-0.000124150614414259	-0.04127906976744178	0.0	40.0	43.0	-40.0	14.0	10.0	8.0	2.0
cross_rescue_ani0.92_xny300_br0.05_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny300_br0.05_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny300_br0.15_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8368088250727865	37.0063459363136	0.9191742173501007	1773	579	166	46	191	-0.043340529615236205	-0.19999999999999996	0.0	46.0	191.0	-46.0	1.0	31.0	0.0	4.0
cross_rescue_ani0.92_xny300_br0.15_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8368088250727865	37.0063459363136	0.9191742173501007	1773	579	166	46	191	-0.043340529615236205	-0.19999999999999996	0.0	46.0	191.0	-46.0	1.0	31.0	0.0	4.0
cross_rescue_ani0.92_xny300_br0.15_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8643763150130068	37.0063459363136	0.9188065039860205	1767	431	172	40	43	-0.000124150614414259	-0.04127906976744178	0.0	40.0	43.0	-40.0	14.0	10.0	8.0	2.0
cross_rescue_ani0.92_xny300_br0.15_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny300_br0.15_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny300_br0.1_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8324779805423934	37.0063459363136	0.9193198999652902	1774	598	165	47	210	-0.048352921716725755	-0.22638888888888886	0.0	47.0	210.0	-47.0	1.0	31.0	0.0	4.0
cross_rescue_ani0.92_xny300_br0.1_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8324779805423934	37.0063459363136	0.9193198999652902	1774	598	165	47	210	-0.048352921716725755	-0.22638888888888886	0.0	47.0	210.0	-47.0	1.0	31.0	0.0	4.0
cross_rescue_ani0.92_xny300_br0.1_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8643763150130068	37.0063459363136	0.9188065039860205	1767	431	172	40	43	-0.000124150614414259	-0.04127906976744178	0.0	40.0	43.0	-40.0	14.0	10.0	8.0	2.0
cross_rescue_ani0.92_xny300_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8710478059759708	37.0063459363136	0.9186781153898296	1745	389	194	18	1	0.006626257892367909	0.0	0.0	18.0	1.0	-18.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny300_br0.1_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny300_br0.2_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.856463514949201	37.0063459363136	0.918962859768616	1768	503	171	41	115	-0.025881016176857577	-0.19999999999999996	0.0	41.0	115.0	-41.0	6.0	26.0	0.0	3.0
cross_rescue_ani0.92_xny300_br0.2_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.856463514949201	37.0063459363136	0.918962859768616	1768	503	171	41	115	-0.025881016176857577	-0.19999999999999996	0.0	41.0	115.0	-41.0	6.0	26.0	0.0	3.0
cross_rescue_ani0.92_xny300_br0.2_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.869213720582869	37.0063459363136	0.9187688816055068	1762	415	177	35	27	0.0029049589301407552	-0.035612535612535634	0.0	35.0	27.0	-35.0	17.0	5.0	10.0	0.0
cross_rescue_ani0.92_xny300_br0.2_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8709304115138432	37.0063459363136	0.9186781153898296	1744	389	195	17	1	0.006043630773723847	0.0	0.0	17.0	1.0	-17.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.92_xny300_br0.2_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny300_br0.3_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8690600767553797	37.0063459363136	0.9187716824801517	1744	399	195	17	11	0.001960108438383217	-0.0045033112582780754	0.0	17.0	11.0	-17.0	9.0	4.0	19.0	1.0
cross_rescue_ani0.92_xny300_br0.3_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8690600767553797	37.0063459363136	0.9187716824801517	1744	399	195	17	11	0.001960108438383217	-0.0045033112582780754	0.0	17.0	11.0	-17.0	9.0	4.0	19.0	1.0
cross_rescue_ani0.92_xny300_br0.3_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8692912440402372	37.0063459363136	0.9187357265398607	1742	395	197	15	7	0.0019925576915890107	-0.0045033112582780754	0.0	15.0	7.0	-15.0	10.0	2.0	20.0	0.0
cross_rescue_ani0.92_xny300_br0.3_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8699456800966343	37.0063459363136	0.9186780411220128	1738	388	201	11	0	0.003565933001477322	0.0	0.0	11.0	0.0	-11.0	8.0	0.0	24.0	0.0
cross_rescue_ani0.92_xny300_br0.3_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.92_xny300_br0.5_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8671937191839519	37.0063459363136	0.9186780411220128	1729	388	210	2	0	0.0008274060612387252	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	30.0	0.0
cross_rescue_ani0.92_xny300_br0.5_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8671937191839519	37.0063459363136	0.9186780411220128	1729	388	210	2	0	0.0008274060612387252	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	30.0	0.0
cross_rescue_ani0.92_xny300_br0.5_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8671937191839519	37.0063459363136	0.9186780411220128	1729	388	210	2	0	0.0008274060612387252	0.0	0.0	2.0	0.0	-2.0	2.0	0.0	30.0	0.0
